id_material,titulo,tipo,area,nivel,descricao,autor,area_BD,area_Estatística,area_Gestão,area_Hardware,area_IA,area_IoT,area_Programação,area_Segurança,area_UX,nivel_norm,tipo_artigo,tipo_livro,tipo_vídeo
19,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
20,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
24,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
26,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
27,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
29,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
30,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
32,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
36,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
37,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
39,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
40,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
42,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
44,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
46,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
47,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
49,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
50,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
52,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
54,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
56,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
57,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
58,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
59,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
60,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
62,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
63,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
64,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
66,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
67,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
69,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
70,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
73,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
74,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
76,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
77,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
78,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
79,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
80,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
82,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
84,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
86,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
87,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
88,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
89,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
90,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
92,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
93,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
94,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
96,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
97,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
98,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
99,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
100,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
102,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
103,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
104,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
106,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
107,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
108,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
109,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
110,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
112,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
113,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
114,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
116,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
117,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
118,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
119,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
120,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
122,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
123,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
124,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
125,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
126,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
127,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
128,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
129,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
130,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
132,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
133,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
134,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
136,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
137,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
138,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
139,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
140,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
142,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
143,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
144,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
